"id","name","colour","stripe","rel_name"
1,"Bakerloo Line","ab6612",NULL,BAKERLOO
3,"Circle Line","f7dc00",NULL,CIRCLE
6,"Hammersmith & City Line","f5a6b3",NULL,HAMMERSMITH_AND_CITY
7,"Jubilee Line","767b7f",NULL,JUBILEE
11,"Victoria Line","0076bd",NULL,VICTORIA
2,"Central Line","df002c",NULL,CENTRAL
4,"District Line","0d6928",NULL,DISTRICT
5,"East London Line","f3ba22",NULL,EAST_LONDON
8,"Metropolitan Line","8b004c",NULL,METROPOLITAN
9,"Northern Line","000000",NULL,NORTHERN
10,"Piccadilly Line","002d73",NULL,PICCADILLY
12,"Waterloo & City Line","89cbc1",NULL,WATERLOO_AND_CITY
13,"Docklands Light Railway","00A77E","FFFFFF",DLR